..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
B8..25..7...,7.62.....8..,...3.....9.5,.4.....5..7.,2....64.9.1A,...6.3A94B..,..25396.8...,67.4.AC....9,.9..B.....A.,3.A.....B...,..4.....5A.7,...7..96..C3
..5.....6..3,B...14...C2.,.C.A.3B..47.,.....78.45..,......4B8.CA,..4.9....1..,..A....1.8..,1B.836......,..62.BA.....,.13..29.B.4.,.82...64...C,A..5.....2..
.758.6.....C,...638C..9..,9C.....A....,..8C.9..1..6,...4.2.6..CB,..6A5.......,.......594..,6A..C.3.B...,8..B..1.6C..,....1.....B8,..A..B625...,7.....5.C69.
.26.....C...,7....9......,B9A..8...41.,1...3.A.4.8.,.C2....B9...,8..5..9..AC.,.67..2..3..A,...85....97.,.3.9.6.C...5,.43...C..1A8,......1....4,...2.....36.
..8.A4.9....,.....C..9...,.2.9...8..B.,.9.5.A.B.1..,4..6.7...5..,.A7...3.4.8.,.3.B.2...45.,..4...C.3..7,..5.7.6.A.9.,.6..B...1.2.,...8..4.....,....9.21.6..
.9....7..B.C,4.C...9.A.8.,.32B.8C.....,2.......8C1.,A..C9..845..,......13.2..,..B.85......,..97B..C2..3,.A82.......1,.....25.B39.,.5.1.9...7.8,9.A..B....4.
.....1.24..9,.9C.B.......,...37.8C..2.,..9B.A..81..,..41.B..2.57,72.......3B.,.86.......13,3B.4..6.98..,..17..2.5B..,.A..53.6B...,.......1.7A.,4..8C.A.....
..978.....5.,..1..4.C3...,.2A6B7......,A..C.98.6..2,..6..C....7.,..8...6.C.1.,.4.8.5...2..,.A....B..4..,7..2.AC.8..5,......7B563.,...54.A..1..,.1.....54C..
7.C62...4...,.B28.....9..,.3...6.C.8.7,...972...38.,C...B.....5.,.4.75..6B...,...18..79.4.,.C.....5...8,.A7...915...,A.B.C.7...1.,..3.....27A.,...C...286.B
.3.2A.96...7,7..61.......,..8C2B....4.,4...6.......,6.3A...9.7..,5......3.6CB,A15.C......2,..6.9...51.4,.......2...6,.9....6B28..,.......C7..5,C...58.4A.9.
.9.1..6.4.5A,......1.26..,7.25..B.....,..3C1....A.4,B.6..A3...7.,.1....75.B..,..A.35....8.,.B...1A..4.6,4.1....BA7..,.....C..65.B,..5A.4......,82.B.6..3.4.
.82...A.5.41,....7..5C.9.,...A...2..68,14.....7.8..,......6.2..9,3...85..41.A,4.13..5A...C,9..2.1......,..8.B.....15,B7..5...1...,.3.19..C....,59.6.2...BC.
..76A......B,3..C.6...1.5,.A.5.B..4.2.,....B..C....,.384..A.B...,..6...82...3,9...74...2..,...1.8..A34.,....6..5....,.9.2..4.3.6.,C.4...5.7..A,8......A54..
7.5.2...4.C6,.4.6..B7....,.....C......,8.2.A.3....5,..9..12...4.,.A1..B.8C...,...27.6..C3.,.6...A5..B..,1....3.2.5.9,......7.....,....38..5.1.,53.7...1.A.2
.......5....,AC.....93.71,B614C.......,...C93....68,6.......7..4,.9A..874...5,2...5A6..18.,4..6.......7,97....125...,.......C1B5A,CA.72.....96,....8.......
....B8.....4,.9...3...C17,7A.81....2..,3.B..C......,..87...9....,..2C.75...A.,.3...5C.B6..,....7...C5..,......2..9.1,..A....84.93,429...6...5.,C.....41....
C.B8A2...63.,9...54.....B,.........4..,6.37.C......,.89.1.6.4.A.,.1.A.5.2....,....2.8.B.C.,.7.5.6.C.19.,......5.A7.2,..8.........,5.....23...7,.67...95C2.3
5...2......9,......B.1.42,C8....A6.5..,..3A..9.2..1,4..2.B71..9.,....6.....5.,.1.....A....,.B..325.9..C,3..4.6..AB..,..5.C9....AB,6C.3.5......,9......2...6
9....B7.4...,7.3A.8C.1..6,5...9......2,.B.....7.4..,..A9.2......,.C17.4.BA...,...65.3.2B9.,......B.C6..,..9.2.....5.,6......3...C,8..3.92.6A.1,...C.14....8
9....3B.1..2,....7.5.B.3.,.....2.8.9..,A..8...196.3,.641.8...BA.,..B...3....1,7....5...3..,.A5...8.472.,4.23A...6..B,..C.9.A.....,.3.A.B.6....,2..B.17....8
...7...9.2B.,.B....C.576.,...52....18.,....C.2.1.9.,......18CA..,C.4A..9..6..,..3..8..95.A,..2C75......,.4.B.9.C....,.A7....12...,.354.B....7.,.C1.3...4...
.B9.A.4.17.2,2...1...C.84,.....32.9.B.,..598...2..7,..7...928...,4....1.B....,....7.C....8,...429...3..,1..5...349..,.4.B.23.....,73.C...1...9,9.18.C.A.24.
..6...3..841,.31.65.7...B,..2C...B..3.,7...B.C...2.,38......C.6A,....A....7..,..8....A....,96.5......A2,.7...C.2...3,.2..5...B4..,B...1.26.C7.,643..9...2..
..53C8.9..2.,.6.2A.....8C,.A...2..6...,.....9..B13.,3..B8.....4.,9..4.C...2.7,2.1...7.8..B,.4.....6C..5,.56A..C.....,...5..1...B.,4C.....21.5.,.3..B.9826..
1.4...2.7..5,.....8....9.,.2A9C..5....,..3B5.C2....,.7.5..3A.4..,2....B...6..,..9...A....6,..5.67..1.4.,....13.4BC..,....B..6271.,.1....4.....,3..7.A...8.B
7A..2.B.5.3C,5BC..8A.7...,..3.5...8...,2.658C4...9.,.4..........,..A.7......1,8......6.2..,..........B.,.C...27B95.8,...B...7.8..,...3.1C..945,12.8.9.A..73
.8...7A..61.,..1.59..2CA.,..6AC.....B.,.....3......,.937..8.....,.B8.2A1..5.4,3.C..458.17.,.....2..534.,......3.....,.C.....9AB..,.AB5..24.9..,.12..5C...6.
...C..2..7.8,4..5C.6...B.,7.1.....9..A,..57..9.C.4.,A...B27.....,.93....5.A..,..C.9....47.,.....6B4...C,.4.9.8..6B..,3..1.....C.2,.5...B.17..6,C.6..3..8...
....2......B,......572...,B5.4.6.C.971,8...54..9.6.,7....C......,A.1567..8.3.,.3.1..B67A.5,......4....6,.A.8..75...3,286.7.A.B.5C,...7B3......,1......4....
...C....25..,.14.9..6....,B....753A..4,...4...A...1,59....C7.3A.,..7.....6.B.,.2.B.....C..,.6C.1B....29,A...4...1...,8..9617....3,....2..C.A4.,..26....5...
1.5.B6.4...2,..7.....B...,2.8.C.A.9..1,.7...B.A6.C.,...184...2..,58.3........,........8.45,..1...28C...,.4.85.6...B.,8..6.5.B.3.9,...9.....B..,B...9.16.5.7
3B.81...6..5,.C....54....,.4...A..91.C,.....546.7..,B...3.A.....,..C4...75.9.,.9.7A...1B..,.....8.3...A,..8.41B.....,C.42..1...B.,....73....6.,6..A...B8.29
1.6..4...87C,B..7.C....9.,.94...8...1.,6....8.2...5,..A.7..5.C3.,9..4..1.....,.....5..8..B,.79.8..1.3..,2...3.C....1,.4...6...AC.,.2....5.9..3,AB8...3..1.6
8.1.9.3..A.2,.6.427.1....,35....4C..1.,.....C....8.,4.......3.7.,..5..8..2C.9,6.4B..7..3..,.3.A.......B,.1....2.....,.7..4B....2A,....5.A71.6.,2.3..1.9.4.5
.A...B3..C.2,...6...C...5,.C....6..B.1,.1C.7.5.....,3.2.8A.....4,86...3..A...,...5..C...73,6.....B3.8.C,.....9.8.6A.,1.7..8....5.,9...3...4...,C.3..62...B.
.7.49.A...5.,.21....5.A.7,....86....3.,...B..5..3..,..51..6.29..,9......3.CB.,.C8.3......9,..63.C..4B..,..9..2..A...,.5....79....,8.A.C....19.,.B...A.8C.4.
.4B..9.7....,C32.65......,...7...841..,6.....C...37,....5..629.8,.2.B3....C..,..C....B3.4.,2.154..3....,4A...C.....5,..A9B...C...,......65.A7B,....2.3..51.
...2.4...83.,C..75.....6.,136...A...57,.6.4.82..9A.,....36...5.4,5......9.2..,..9.B......A,4.B...8A....,.C1..73.9.2.,79...2...4B3,.1.....C2..5,.A4...5.C...
.4.3..BA.1..,1...6.7.C..3,7..9...CA...,....2..618B7,...........5,.B..1857..9.,.2..B691..C.,B...........,97643..2....,...7C...2..8,8..6.1.B...C,..B.49..7.A.
8.7.B.56.A..,1.C384..6...,.5.....34..C,.A..3.12....,.2...8.B....,...B....25.8,4.67....1...,....A.4...9.,....62.9..C.,9..42.....B.,...8..B491.5,..1.93.C.8.2
.4...9..C7..,..B.3.5...98,.....B173.6.,.1....A.....,...29....18.,875.1.6..9.4,B.4..7.5.61A,.C1....98...,.....4....7.,.B.1289.....,92...C.6.B..,..A4..B...2.
..98.....7B.,.CAB.1.796..,.....54..38.,......5B2.4.,.....7..68..,...24.....71,16.....54...,..25..6.....,.8.793......,.18..AC.....,..C96.B.512.,.25.....A4..
.....68...A.,C4.A...72...,.....9..345.,..3.A2....6.,..B....34C8.,8..4..B....3,7....8..1..4,.B253....7..,.9....74.B..,.173..5.....,...C1...6.B2,.6...4A.....
.B9..5....8.,...56...1B..,8..7A2..6...,.A........12,B.2.....3.6.,..69.8.2A7..,..C67.8.25..,.4.B.....6.9,28........4.,...2..C6B..5,..78...39...,.6....5..CA.
8..C.9.B...4,9....5A6.3.C,356..8..9...,.6.2.B...9..,.......14..B,.4.7..C.....,.....6..1.4.,4..6A.......,..B...1.A.C.,...3..2..1A9,2.A.BC3....6,6...5.9.2..7
...1.......9,B..A1.5.732.,4893.6...B..,84...C.5....,C...21...4..,.2..7....9..,..4....1..5.,..5...C9...1,....8.B...37,..8...2.6174,.1AC.4.38..B,2.......3...
..8A1.47....,6...2..9....,.C......46.1,5.....2AC.4.,A...C3....9.,7.9C.1..B...,...6..9.15.B,.B....C4...A,.5.7AB.....9,C.35......6.,....B..C...8,....74.13C..
64.7....2.9.,....C..94.B8,........A1..,.B...6...9..,1......785.6,.926.3.1..74,2A..7.6.93C.,9.681......2,..4...2...1.,..94........,78.35..A....,.6.A....3.8C
.7.8.....4..,....AC..3...,3.B..8.1.75.,.C.95....A.8,...BC...6.17,8.4....6.B..,..8.1....6.4,C6.4...A2...,1.A....C8.B.,.26.7.A..8.3,...5..63....,..7.....5.4.
....3.52B7C1,.7..A.....25,...5B..C4...,...C......6.,2.B8.7...14.,....C..8...9,A...1..9....,.41...8.2B.7,.6......3...,...18..65...,8B.....5..A.,45A37B.1....
5..B....A.81,...24...B...,..A..8B2....,.....C....63,...5A2.3..9.,36.A...9...7,7...C...4.16,.B..7.983...,4C....5.....,....291..4..,...9...68...,A2.6....1..B
.4.....CA.7.,...1..7...CB,.3C8..A4..6.,8.6..4.B....,..2.....B.1.,4..5...9..A6,3A..B...1..4,.1.7.....3..,....C.9..5.A,.2..4C..9B3.,5C...1..8...,.6.47.....2.
.73.......A.,1....A23C...,C.8...B.46..,..B31......4,46...98...2C,7...C.6..3..,..A..C.9...2,61...83...59,5......684..,..41.7...B.3,...AB24....6,.B.......A4.
.5..A.7.3..C,...3.4....1.,C.A9..2....4,7.........C.,..1C..A7..9B,....4.8..735,47C..3.A....,3A..5B..24..,.1.........9,5....8..B1.3,.3....6.5...,B..1.2.5..6.
62.5...C..7.,....9.......,.9...B.7C853,.C2........B,..5...B.279.,....7.654.C.,.6.329.A....,.AB1.5...C..,C........62.,439BC.8...1.,.......4....,.1..3...6.49
.9A...6.....,..5.A284....,.6729......4,.1.7...2.AB.,2.3...7.6...,6AC...5..1..,..6..7...4A9,...B.9...8.5,.79.C...B.2.,9......C4B1.,....4A3B.9..,.....6...3C.
4..3.6....A.,.A.6.7...B.8,C......8.1..,2.B..C74.A..,14...3.2....,3..C1.A....2,B....A.97..3,....3.1...54,..8.B45..9.C,..4.7......5,5.3...6.9.8.,.C....8.6..A
....5...4.7.,..8.B.3...5.,...5..173.9C,..6.C7.8...A,A.....9...4.,.4C8.....B..,..5.....893.,.A...1.....4,C...4.B9.1..,63.2A5..7...,.8...3.6.A..,.9.1...B....
..9..1..A..6,..76.2.A.9..,....6..9....,2CA..8..9...,.91B...28.A.,..6.9..5.C3.,.B4.8..7.6..,.8.CA...B54.,...1..B..89A,....2..6....,..B.4.3.57..,C..7..9..2..
...9..C.2...,.8...9.6.4..,6.548....7..,.1...4...A32,C2..7...9.4.,.4...A.B...1,3...A.5...6.,.6.5...1..B7,798...2...1.,..2....751.6,..B.6.1...C.,...7.5..4...
.6....34...C,..39.2.CB..5,B......6.874,..9...A1...B,6..2........,...1.4..A3.8,7.4C..B.9...,........C..1,A...1C...4..,57C.3......6,1..B8.2.7C..,9...C7....4.
..C78...4...,.6B.A.....5C,43..5...61..,........2.B8,B7.8.23.....,9....15.3..4,1..3.A4....B,.....C7.8.63,6C.4........,..1B...C..47,CA.....1.89.,...2...B1C..
B.....2..4..,735...8.C.6.,.AC..B.3...7,.5....6B.9A.,.4....3C....,...B......53,48......1...,....12....B.,.9B.46....2.,2...9.A..B7.,.7.C.8...516,..9..3.....8
....98..1.C.,.....1.....4,...8..A.93B5,7..C23.A41..,.5.1..76...A,..6..5....9.,.A....B..4..,C...16..8.2.,..B7A.825..3,5419.A..B...,6.....5.....,.8.A..21....
BA....4...9.,.24.1.3.5C..,...8...2.7.1,...A..9....C,.C....24..B.,..9..8B.762.,.B1C.4A..2..,.9..63....5.,7....2..C...,A.5.4...8...,..74.B.9.51.,.8...7....C3
..A4..81....,..63.5.2..8.,1B.8.7.C..6.,A3.....4.6..,.C..B.....1.,.691....5..4,5..B....34C.,.2.....B..5.,..3.5.....27,.5..8.B.1.AC,.A..2.1.87..,....9C..2B..
.C69......B.,.7..6...41..,....CA.....3,...14....C.2,79.B...6....,3.54....9.67,4A.8....19.B,....A...3.74,2.7....96...,1.....6B....,..97...1..8.,.B......72A.
2..5.1..4.B.,7.....A5..9.,..1.34...C..,8.7..A1..9..,..CB...7.4.1,1......3..2.,.4..7......6,C.2.B...97..,..5..39..2.C,..8...2A.5..,.9..87.....A,.C.A..5.7..2
..C....8.1.6,.3....65..7.,6..A.......2,.96.8.51AB..,..3.B.....6.,..54..A..2.8,9.4..6..8A..,.6.....9.7..,..1CA5.7.69.,1.......3..C,.C..68....4.,2.9.1....5..
..A.4.8.3..1,8C....1.B...,.9......7...,..3...5.1..C,....9...6B..,21BC7.A.....,.....B.19237,..53...2....,9..B.8...6..,...7......C.,...1.C....46,6..2.A.9.3..
..8.B.....2.,.BC........4,....1467B...,.24..9.5.1.3,...8..7...6.,.A73.6.1.5..,..6.3.8.491.,.8...5..2...,4.2.7.B..83.,...75C18....,9........CB.,.4.....9.6..
......5.B...,..5C.A7..984,.9.8.C.2...5,8.6....49..C,.C.3.6.5....,A4..9..B5.3.,.1.94..C..5A,....1.8.4.B.,4..52....C.3,6...C.9.3.4.,5AC..4B.27..,...4.7......
.9.6........,7....2.36...,.B..7.65.4..,.....4562.93,..3.9..71A.5,.2......4..B,1..A......7.,5.B82..A.1..,96.2581.....,..9.81.B..4.,...5C.A....1,........C.3.
6.5.2.7...81,.......C57.4,B7...8..3...,.5.67....B.C,7....1.B.3..,..1.6C..4...,...9..41.2..,..7.C.A....3,C.3....7A.4.,...C..2...9B,4.A83.......,12...9.5.4.6
....6..5...8,....C....91.,..17..A2C.3.,4...3.9...51,..61..28.AC.,.B.....A.8..,..C.9.....B.,.98.17..26..,52...A.B...7,.1.328..AB..,.62....3....,B...5..1....
..C.7...46.A,..9...4.....,.3.A629..1.C,.....9A...B.,.5..C.......,.9815...24..,..4B...932A.,.......7..4.,.6...1C.....,B.3..6159.7.,.....7...A..,5.74...3.B..
.6..1.47..8A,...C..9.6.4.,7...C.....B1,.B....3.A1C.,...8....5..4,.....B...26.,.C8...2.....,9..4....C...,.172.C....5.,58.....C...3,.2.7.A..9...,4A..B8.5..2.
.A..B.......,2.8.....6.C4,.C...9521..3,.732.495...8,..4.1....3..,B..9.8..4...,...A..3.C..1,..7....A.2..,6...C1B.873.,7..32C6...5.,56.B.....1.2,.......1..6.
.8.97..13..C,2.A...B9.8..,.15...2...7.,......976.82,..832...5...,72......C...,...1......45,...B...627..,4C.8A7......,.5...1...93.,..1.69...B.A,9..AB..81.2.
2........B..,.4...BC.72.9,.A...9.4...3,...C1.B..7..,....5.42.9.B,.B.......581,A81.......3.,7.9.21.6....,..B..4.71...,4...B.A...6.,1.89.37...A.,..5........C
...2A8.17..B,C..4..B...A.,..6.4.7..1.3,...1......72,..A.3...4C.6,.....1.2....,....8.4.....,8.B9...6.2..,34......C...,2.8..B.7.A..,.A...4..5..7,5..31.CA8...
8.......4A.C,3...9....16.,...2..3A....,C..A.4.....B,B39...A2.C..,1....6.C.24.,.B4.2.5....6,..C.7A...B52,5.....B.C..4,....C1..9...,.15....8...A,2.36.......8
3...7A.5..B1,...6.92.C.7.,..5.6.......,.6853......C,......89A.5.,C..B....9..2,B..3....1..9,.9.7A2......,2......37C4.,.......6.B..,.C.2.47.5...,15..C.3B...6
C7.6.9....3.,A..2...179C.,.4....7...18,....A.......,.A.....6.8.5,4.....8BC7.9,9.6C53.....2,2.B.4.....9.,.......C....,62...7....5.,.17A9...6..3,.9....6.4.B7
8......91...,1.C.57.3...4,..43.8..6.BA,....B2.CA...,.5.....4.2..,2...39...4..,..6...7B...1,..7.8.....C.,...4C.A6....,36.9..2.5A..,5...7.3A.1.9,...C6......8
5.26...7...4,..4B.8......,...A39.4.C..,7.C3..8...4.,.4....6..1.C,.....1..A...,...1..A.....,8.3..4....A.,.A...5..98.7,..7.8.926...,......B.C3..,9...5...72.B
3..21...85..,.8........1C,.....4.A.62.,2A..56......,.68..9...435,5..7...B....,....6...4..2,617...5..3C.,......49..71,.4C.B.A.....,A2........9.,..3B...27..8
..7C....2.B.,.....954.1..,......2C965.,...5.C91.2.3,...........7,3.17.8...C6.,.B5...8.A7.6,7...........,2.6.1A3.B...,.2A43B......,..8.A27.....,.7.B....35..
....6.8B.A..,.5....7.....,6B.....972.4,.8..9.....57,..2..84....C,59C6.7....8.,.6....3.B745,B....96..3..,C2.....5..9.,A.792.....38,.....A....B.,..4.86.3....
.......618C7,4.A.C.1B..3.,.9........BA,3......5....,.A.91.B.3...,B.6..23.8..1,C..2.57..1.8,...7.A.C2.6.,....3......B,21........8.,.8..46.1.7.2,A67B2.......
36...452CA.7,........5...,..C.98...24.,91..C.73....,...C.....4.1,8....6.4.3.A,5.B.3.4....C,4.1.....6...,....82.1..54,.98...3C.5..,...2........,A.54B72...38
6....A...21.,9.5A..C..6..,18..2..4..7.,.A86...C....,...C..7.A...,.5....2..43.,.4B..3....8.,...7.8..6...,....7...4B9.,.7..4..9..26,..A..5..97.4,.62...3....A
4.C........1,3..9..1.5.B.,.7.B.25...C.,.3..5....74.,1..5.B92.A..,C...A......5,2......9...C,..3.764.2..A,.C5....B..8.,.9...1A.8.5.,.1.A.C..9..6,5........3.4
....4.59C..1,2.1.6.....4.,...C.8.1.57B,..B4....23..,......A....6,C6A.B.....9.,.3.....4.217,5....B......,..62....3B..,A92.8.4.7...,.5.....C.9.4,4..19A.B....
.4...9..5.8.,.65....7.9CA,..3...42...1,...3..9.C.A.,...B..A3.5..,....C8.....4,4.....8A....,..6.7B..9...,.3.2.5..7...,8...AC...B..,37A.6....C1.,.B.5..3...4.
.4..23.89...,.C..75..B..8,.8..1.C..6.3,...2.C7.4...,A9..8..2...C,...5.4.....7,2.....4.C...,3...6..1..82,...9.28.3...,7.A..8.B..9.,4..B..96..7.,...65.2A..C.
B2.1......3.,...46.....1C,7.6...1A.54.,8....5.B....,34.29....A8.,..5..8.....4,2.....6..C..,.17....C6.92,....8.B....1,.62.57...4.B,AC.....42...,.B......9.A3
..8.1...3...,91....58B.7.,...3..A7.C..,..2B...5A.1.,A5...1..9.C.,1..83....5..,..1....62..3,.3.A..B...58,.2.68...C4..,..B.48..6...,.A.9C5....32,...2...9.B..
5.A...1.8.36,83......B7..,...........2,......C2..4A,.C1.5..4....,7.4..BA..1..,..9..67..4.1,....3..5.A6.,B4..82......,C...........,..52......B9,6A.B.4...3.7
.C...B....9.,.4.69.8.....,..98...C.6.4,B3...214..6.,.9.7.....4..,6...8.79.B..,..C.58.2...B,..3.....6.A.,.8..67C...49,8.4.C...59..,.....1.6B.3.,.7....5...C.
.4...6...C..,7.6A..C2...3,5..98..12...,.3....14..8.,.8...B......,.B..5C.89.7.,.5.37.9B..4.,......5...B.,.9..C8....5.,...BA..68..1,A...19..57.B,..C...B...3.
A3..B...9..C,.......96B..,1.B...8A4...,71.......8..,..28.5A....9,.9...762....,....A61...C.,2....CB.59..,..3.......81,...398...4.7,..976.......,5..A...3..92
B4.8351....2,.75.2..C..6.,.3.C.8.7....,4A......8.3.,...17.......,7....C5.9..B,5..4.2C....6,.......A1...,.C.A......84,....C.B.6.2.,.1..8..6.74.,9....472C.13
5.4..C..7A..,.1.8....52C.,6..A1.5.....,.56..B.1....,.8.C9.62.4..,9.B..38.....,.....62..5.8,..3.48.5C.A.,....7.A..B2.,.....2.68..B,.986....3.4.,..53..7..C.A
.41...69.5..,.36C..4.....,2.A5...1..3.,..83....79..,7...3A9...1.,C9...7....4.,.C....3...8B,.1...4BA...6,..B9....54..,.B..1...4A.8,.....8..63B.,..3.4C...15.
.2.4.C.38.1.,B..3A.....2.,...9.17.C...,C...8.A76...,.....3..A..4,.....B...397,463...C.....,8..C..9.....,...A42.8...3,...5.A2.3...,.B.....67..5,.A.71.5.9.6.
13.....5..46,6..8A.3..9..,...A6..8..2C,5..B...A..1.,........25.8,.7...1.9.3..,..4.C.7...9.,B.87........,.C..B...4..5,C2..4..19...,..A..C.3B..2,31..8.....CA
5......9.B..,.....A7..1..,..42.1..5...,2...6....59.,C8.4.......2,6...3.941.C.,.9.54B.3...1,1.......C.25,.78....6...B,...9..3.42..,..7..42.....,..1.7......C
.B.1.6.8.42.,7....5..9.A.,......9.5..7,A8.....42C..,..5.81....4.,.34.9...A...,...4...A.56.,.2....46.9..,..A82.....C4,8..A.C......,.9.3..B....8,.57.3.2.6.B.
3.92..4....1,.A.C36......,..5.7...643.,...9...23...,5.....987C..,B.27.....95.,.54.....21.7,..CA47.....9,...62...A...,.963...1.2..,......B4C.1.,C....2..86.5
7C4...B6...5,96..2.5..B..,..5.4....7.8,2..1...8..5.,587.B..1.A..,....A......7,C......5....,..1.C..9.28B,.2..3...5..C,B.9....4.1..,..8..C.3..B2,6...8A...9C4
.8...64.97.2,...6.82C.B..,....97.BC...,5.........64,..A.2..8...9,.2C.....3.A.,.1.B.....C5.,4...B..9.A..,37.........B,...27.13....,..7.C56.2...,A.61.9B...4.
673...4..9..,B....C...A..,...1..8.62.B,..7.8.56....,3......975.C,.9.....7.36.,.B4.5.....3.,C.A69......5,....A8.2.6..,A.57.1..4...,..2...6....7,..6..7...15A
...4C.A.582.,1..62....B9A,...5........,..6..1.B...2,.B7..2.6.1..,A1..4.7..C..,..1..A.3..5B,..8.B.1..67.,2...6.4..3..,........3...,583....AB..1,.72A.4.C6...
736.A..C...8,......8...6.,B..9..13CA..,.C.6.7..1...,.5...1.A...6,....8..4A..B,4..17..B....,9...4.3...5.,...3..9.2.A.,..94BA..7..5,.7...3......,6...1..9.384
.....7.5C4.3,C.....6..7.1,5..7...462..,.87..9...C..,.....4A...9B,4.....8C.A1.,.BA.C2.....9,67...83.....,..9...5..34.,..C63...5..8,7.8..C.....2,9.328.4.....
..8....4.B.7,...B.3....8.,...4A.....3.,9C6....A..5.,B......5.C..,5...C..B17.6,8.92B..C...A,..5.7......B,.6..2....593,.7.....19...,.5....3.A...,C.A.6....8..
....A.....2.,..AC....B857,2B...7......,.1.58...7..4,8...5.B..6.2,6.B4...1..C.,.7..4...CA.9,C.6..5.8...1,B..1...98.6.,......5...AB,A583....1C..,.2.....4....
C5A.6.......,..21.....6C.,.6..3.915...,.3C...85...A,..B..9..1..2,...52.3.C...,...C.B.37...,4..3..7..C..,A...14...B2.,...498.B..3.,.81.....47..,.......C.819
..39......6.,.1...58....9,A..5....8.4B,...B.8A15.7.,....C46.2...,.C......A..6,3..1......8.,...C.638....,.B.A91C.7...,97.3....1..8,4....A1...2.,.6......95..
..B...82..C.,4.1.B.......,95.7..1....6,3.2...5A....,...5.23.1...,...14...3..B,7..A...95...,...4.3C.9...,....6B...1.C,6....5..2.47,.......3.9.8,.B..C8...6..
92.......7.4,...7...82...,6A.....1B...,B1...5.2.C..,C..2.9.48..5,..9.71.6..B.,.3..9.17.8..,8..C6.5.7..1,..7.4.B...3C,...1C.....79,...A1...3...,4.6.......18
........C6.B,.76B...92..8,8...7..BA..3,AB....2...6.,..2.57.6B...,5...CB.....9,6.....9C...2,...32.67.9..,.9...1....8A,2..1B..3...6,B..91...752.,4.87........
.......86...,6..42..9AB3.,.2....BA..1.,.43A..2..1..,..8.1...2..B,2.....4C.5..,..6.C4.....5,7..9...3.2..,..4..A..76C.,.5..73....B.,.6739..1C..A,...8A.......
.8...B...A..,.3468.....7.,.97.3...45..,8A....7356B.,..24..B.....,......15.7.2,4.6.78......,.....C..69..,.B9216....3C,..35...C.1A.,.2.....193C.,..1...2...6.
..5B679..C..,..8...A...5.,.3..1.....6.,2C.4.B......,1...C65..9.4,.83.........,.........71.,A.7..C69...2,......4.B.CA,.6.....7..9.,.4...9...2..,..B..12A84..
..6....12AC.,..1....74...,3B...2...5.8,..42..B6....,.....7.9.BA2,.8...5..3...,...6..5...3.,835.9.1.....,....23..8C..,4.8...6...71,...A8....3..,.7C3A....6..
A.4.1...9...,6..8..49...7,..2...8.6.4.,.......2.6..,1.39A....7B.,826C5......A,9......C7A63,.CB....758.2,..7.9.......,.1.B.6...4..,4...C3..B..6,...3...5.2.9
28...9.34C..,..C..4A6.9..,A.....21....,9.B25...68..,674.........,...5......19,46......9...,.........263,..78...9C4.1,....16.....7,..6.B38..1..,..17A.4...B2
.349.71....8,8....2...3..,.A.1B...C.6.,5...C.......,62.A....5C..,.8....6.34..,..52.A....C.,..68....A.23,.......8...7,.5.7...16.4.,..C...9....2,1....4A.958.
.3..1.A..2C.,8.5...6.1...,...B.94C.6..,9B..8.1....C,C53......9..,61...B.3....,....3.8...79,..8......534,2....7.4..68,..2.A83.7...,...9.1...3.5,.71..2.6..8.
.8..2B...A.3,.5.3A.C....4,....416.2...,8.5.....1..B,...18....5..,.B.A95....7.,.3....47B.2.,..B....5C...,C..4.....7.A,...B.684....,1....C.23.4.,2.4...31..6.
.4.3.17.8.6.,2.9...5.1..B,......98AC..,....6...2..5,A....5B.C.3.,.....9.2...6,7...B.6.....,.5.9.2C....A,6..8...A....,..8C94......,9..7.B...1.2,.B.4.A8.6.9.
.75BA.3..41.,.....C..6..5,.....28....B,A...1.......,7...34.B..CA,..98...A5..4,6..39...A8..,92..4.57...3,.......3...2,5....3A.....,1..9..7.....,.67..B.C3A9.
..8..7.....1,...1.2...5.9,9B..3.1.7..C,.C...5.....8,8194..73..A.,..3.A...C...,...9...C.1..,.3..2B..57C6,2.....5...B.,3..6.1.2..5A,C.B...8.4...,A.....B..C..
..A.58.7...2,.7..6.C....A,..1..B..9..8,3...B...2...,..B.19A6..5.,..54C....6A.,.49....2A1..,.B..A648.C..,...3...C...4,7..6..9..A..,1....7.B..6.,9...4.65.3..
.7...A493.26,...3...8..C7,........1...,.6...7A.8...,5.71..B6..3C,.8...9.C.1.A,8.2.9.5...4.,91..43..A6.2,...6.1C...8.,...4........,1B..A...2...,3C.2649...1.
.2..54..C...,......29..B1,3.A.C1..8...,45.36...2...,.1.6..5....8,.A2.1....5.B,A.3....1.24.,7....2..A.1.,...4...B9.53,...9..43.B.2,5B..28......,...2..C5..8.
..2..8...1..,..8B.A..472.,....7.3.C...,.C.....5..69,..1...67A...,.65.2B.....C,3.....C8.BA.,...534...C..,81..5.....3.,...1.6.3....,.BC7..5.18..,..4...7..9..
63.57.1.4...,B....8....7.,.2.74..5.3A.,3....2.B..18,..1..46..B..,.5.......6..,..2.......3.,..4..53..9..,57..8.C....6,.17.6..AC.4.,.C....9....3,...9.C.18.B2
